time,q
0.0,0.042199744351661364
0.01,0.04350692719324807
0.02,0.04486635413162358
0.029999999999999999,0.046281173026438596
0.040000000000000001,0.047754785589641635
0.050000000000000003,0.04929087302634845
0.059999999999999998,0.05089342478191209
0.070000000000000007,0.05256677083232186
0.080000000000000002,0.05431561802466829
0.089999999999999997,0.05614509105625465
0.10000000000000001,0.05806077877732248
0.11,0.06006878661604601
0.12,0.06217579605873065
0.13,0.06438913227693595
0.14000000000000001,0.06671684118117463
0.14999999999999999,0.06916777740340488
0.16,0.07175170497414052
0.17000000000000001,0.07447941277209705
0.17999999999999999,0.07736284719335829
0.19,0.08041526492254558
0.20000000000000001,0.08365140920058185
0.20999999999999999,0.08708771358266294
0.22,0.09074253787526894
0.23000000000000001,0.09463644173868127
0.23999999999999999,0.09879250234110751
0.25,0.10323668343915611
0.26000000000000001,0.10799826430162165
0.27000000000000002,0.11311033791553145
0.28000000000000003,0.1186103887773265
0.28999999999999998,0.12454096103540076
0.29999999999999999,0.13095042740196985
0.31,0.1378938674140422
0.32000000000000001,0.14543405919914676
0.33000000000000002,0.1536425801546363
0.34000000000000002,0.16260099618288862
0.35000000000000003,0.17240209225089034
0.35999999999999999,0.18315105306264157
0.37,0.19496643314887988
0.38,0.20798064980060216
0.39000000000000001,0.22233957777518948
0.40000000000000002,0.23820061220085056
0.41000000000000003,0.25572829940449787
0.41999999999999998,0.27508635259214914
0.42999999999999999,0.2964246785369304
0.44,0.319860166576472
0.45000000000000001,0.34545079699973125
0.46000000000000002,0.37316454096254514
0.47000000000000003,0.4028477351740443
0.47999999999999998,0.43420148005003967
0.48999999999999999,0.46677711583627945
0.5,0.5
0.51000000000000001,0.5332228841637205
0.52000000000000002,0.5657985199499602
0.53000000000000003,0.5971522648259558
0.54000000000000004,0.626835459037455
0.55000000000000004,0.6545492030002686
0.56000000000000005,0.6801398334235281
0.57000000000000006,0.7035753214630698
0.57999999999999996,0.7249136474078508
0.58999999999999997,0.7442717005955021
0.59999999999999998,0.7617993877991494
0.60999999999999999,0.7776604222248105
0.62,0.7920193501993978
0.63,0.8050335668511202
0.64000000000000001,0.8168489469373583
0.65000000000000002,0.8275979077491097
0.66000000000000003,0.8373990038171115
0.67000000000000004,0.8463574198453637
0.68000000000000005,0.8545659408008532
0.69000000000000006,0.8621061325859577
0.70000000000000007,0.8690495725980301
0.70999999999999996,0.8754590389645991
0.71999999999999997,0.8813896112226735
0.72999999999999998,0.8868896620844684
0.73999999999999999,0.8920017356983784
0.75,0.8967633165608438
0.76000000000000001,0.9012074976588924
0.77000000000000002,0.9053635582613186
0.78000000000000003,0.9092574621247311
0.79000000000000004,0.912912286417337
0.80000000000000004,0.9163485907994181
0.81000000000000005,0.9195847350774544
0.82000000000000006,0.9226371528066417
0.83000000000000007,0.925520587227903
0.83999999999999997,0.9282482950258594
0.84999999999999998,0.930832222596595
0.85999999999999999,0.9332831588188253
0.87,0.9356108677230639
0.88,0.9378242039412693
0.89000000000000001,0.9399312133839539
0.90000000000000002,0.9419392212226774
0.91000000000000003,0.9438549089437454
0.92000000000000004,0.9456843819753318
0.93000000000000005,0.9474332291676781
0.94000000000000006,0.9491065752180878
0.95000000000000007,0.9507091269736515
0.95999999999999996,0.9522452144103584
0.96999999999999997,0.9537188269735613
0.97999999999999998,0.9551336458683763
0.98999999999999999,0.9564930728067519
