time,q,dx
3.179592653589793,0.0,100.0
3.271592653589793,0.6,40.0
3.3415926535897933,0.7,30.0
3.5115926535897932,0.8,20.0
4.481592653589793,0.9,10.0
4.881592653589793,0.92,8.0
5.741592653589793,0.95,5.0
6.0415926535897935,0.96,4.0
6.351592653589793,0.97,3.0
6.441592653589793,0.98,2.0
6.641592653589793,0.99,1.0
6.651592653589793,1.0,0.0
