dx,time,q
00,16.5,1.0
01,15.3,0.9666666666666667
05,8.17,0.8333333333333333
08,4.88,0.7333333333333333
10,4.1,0.6666666666666666
15,3.5,0.5
20,3.4,0.3333333333333333
25,3.37,0.1666666666666666
30,3.3,0.0
