time,collision-num,trajectory-num,success
0.198109,0,11,1
0.172907,0,11,1
0.170873,0,11,1
0.335333,0,11,1
0.163004,0,11,1
0.217683,0,11,1
0.217211,0,11,1
0.167954,0,11,1
0.320864,0,11,1
0.169432,0,11,1
0.18632,0,12,1
0.184265,0,12,1
0.3706,0,12,1
0.178006,0,12,1
0.197775,0,12,1
0.18369,0,12,1
0.184584,0,12,1
0.355578,0,12,1
0.181253,0,12,1
0.190903,0,12,1
0.203779,0,13,1
0.366672,0,13,1
0.214791,0,13,1
0.244854,0,13,1
0.210733,0,13,1
0.485795,0,13,1
0.202743,0,13,1
0.222046,0,13,1
0.229578,0,13,1
0.204382,0,13,1
0.406517,0,14,1
0.233049,0,14,1
0.213873,0,14,1
0.360561,0,14,1
0.2244,0,14,1
0.22878,0,14,1
0.221528,0,14,1
0.376447,0,14,1
0.205245,0,14,1
0.228178,0,14,1
0.226094,0,15,1
0.386252,0,15,1
0.226585,0,15,1
0.233327,0,15,1
0.225625,0,15,1
0.381946,0,15,1
0.231387,0,15,1
0.228115,0,15,1
0.455208,0,15,1
0.281607,0,15,1
0.262465,0,16,1
0.236193,0,16,1
0.42316,0,16,1
0.31168,0,16,1
0.243969,0,16,1
0.439771,0,16,1
0.241059,0,16,1
0.263576,0,16,1
0.237362,0,16,1
0.377038,0,16,1
0.254921,0,17,1
0.26017,0,17,1
0.427132,0,17,1
0.303037,0,17,1
0.280703,0,17,1
0.580136,0,17,1
0.28764,0,17,1
0.289097,0,17,1
0.538986,0,17,1
0.269232,0,17,1
0.284062,0,18,1
0.276281,0,18,1
0.431293,0,18,1
0.32607,0,18,1
0.286667,0,18,1
0.492362,0,18,1
0.311371,0,18,1
0.29204,0,18,1
0.479879,0,18,1
0.304858,0,18,1
0.294901,0,19,1
0.454981,0,19,1
0.315597,0,19,1
0.444372,0,19,1
0.316016,0,19,1
0.305365,0,19,1
0.456942,0,19,1
0.274317,0,19,1
0.293657,0,19,1
0.464243,0,19,1
0.310807,0,20,1
0.305005,0,20,1
0.473924,0,20,1
0.300556,0,20,1
0.304094,0,20,1
0.451364,0,20,1
0.324586,0,20,1
0.449828,0,20,1
0.325297,0,20,1
0.32309,0,20,1
0.477865,0,21,1
0.366895,0,21,1
0.336491,0,21,1
0.531461,0,21,1
0.339074,0,21,1
0.481716,0,21,1
0.338593,0,21,1
0.330909,0,21,1
0.474592,0,21,1
0.322484,0,21,1
0.36272,0,22,1
0.493072,0,22,1
0.348419,0,22,1
0.506991,0,22,1
0.345316,0,22,1
0.339862,0,22,1
0.497358,0,22,1
0.348308,0,22,1
0.52373,0,22,1
0.365604,0,22,1
0.388574,0,23,1
0.575506,0,23,1
0.370909,0,23,1
0.53715,0,23,1
0.391839,0,23,1
0.506431,0,23,1
0.442858,0,23,1
0.455329,0,23,1
0.571415,0,23,1
0.470008,0,23,1
0.552715,0,24,1
0.374444,0,24,1
0.591527,0,24,1
0.465579,0,24,1
0.427306,0,24,1
0.630883,0,24,1
0.377893,0,24,1
0.591378,0,24,1
0.423445,0,24,1
0.568187,0,24,1
0.391424,0,25,1
0.529773,0,25,1
0.380041,0,25,1
0.373063,0,25,1
0.519753,0,25,1
0.387721,0,25,1
0.519931,0,25,1
0.397661,0,25,1
0.679366,0,25,1
0.417451,0,25,1
0.584369,0,26,1
0.433417,0,26,1
0.593981,0,26,1
0.424841,0,26,1
0.586767,0,26,1
0.415995,0,26,1
0.423102,0,26,1
0.672978,0,26,1
0.399298,0,26,1
0.607656,0,26,1
0.427565,0,27,1
0.59585,0,27,1
0.42151,0,27,1
0.579714,0,27,1
0.419807,0,27,1
0.573287,0,27,1
0.420649,0,27,1
0.639177,0,27,1
0.433345,0,27,1
0.642204,0,27,1
0.503378,0,28,1
0.599755,0,28,1
0.446103,0,28,1
0.599441,0,28,1
0.451326,0,28,1
0.597082,0,28,1
0.488845,0,28,1
0.676427,0,28,1
0.445953,0,28,1
0.679979,0,28,1
0.457531,0,29,1
0.616909,0,29,1
0.452794,0,29,1
0.621076,0,29,1
0.614117,0,29,1
0.452415,0,29,1
0.617464,0,29,1
0.452131,0,29,1
0.605982,0,29,1
0.452876,0,29,1
0.314281,1,11,1
0.49873,1,11,1
0.309459,1,11,1
0.307008,1,11,1
0.474369,1,11,1
0.307594,1,11,1
0.294194,1,11,1
0.47298,1,11,1
0.306532,1,11,1
0.309689,1,11,1
0.484381,1,12,1
0.349736,1,12,1
0.333355,1,12,1
0.332062,1,12,1
0.497142,1,12,1
0.323367,1,12,1
0.315362,1,12,1
0.501473,1,12,1
0.323946,1,12,1
0.323007,1,12,1
0.528824,1,13,1
0.354674,1,13,1
0.352022,1,13,1
0.534019,1,13,1
0.363504,1,13,1
0.517943,1,13,1
0.346437,1,13,1
0.352322,1,13,1
0.507617,1,13,1
0.356651,1,13,1
0.375816,1,14,1
0.534336,1,14,1
0.38593,1,14,1
0.381476,1,14,1
0.586002,1,14,1
0.37168,1,14,1
0.546671,1,14,1
0.376203,1,14,1
0.368441,1,14,1
0.550326,1,14,1
0.399775,1,15,1
0.542371,1,15,1
0.414402,1,15,1
0.406283,1,15,1
0.558032,1,15,1
0.487173,1,15,1
0.590424,1,15,1
0.42639,1,15,1
0.398481,1,15,1
0.561262,1,15,1
0.426455,1,16,1
0.696941,1,16,1
0.433263,1,16,1
0.422955,1,16,1
0.592458,1,16,1
0.441446,1,16,1
0.598434,1,16,1
0.430314,1,16,1
0.581957,1,16,1
0.510951,1,16,1
0.49003,1,17,1
0.650549,1,17,1
0.445377,1,17,1
0.699579,1,17,1
0.446888,1,17,1
0.609558,1,17,1
0.451313,1,17,1
0.681109,1,17,1
0.570868,1,17,1
0.476852,1,17,1
0.715886,1,18,1
0.486141,1,18,1
0.646872,1,18,1
0.494441,1,18,1
0.66052,1,18,1
0.492088,1,18,1
0.648216,1,18,1
0.481375,1,18,1
0.645109,1,18,1
0.501634,1,18,1
0.673268,1,19,1
0.507786,1,19,1
0.663011,1,19,1
0.520407,1,19,1
0.655706,1,19,1
0.500638,1,19,1
0.688746,1,19,1
0.517601,1,19,1
0.743735,1,19,1
0.500321,1,19,1
0.691213,1,20,1
0.523187,1,20,1
0.724784,1,20,1
0.633044,1,20,1
0.758654,1,20,1
0.615869,1,20,1
0.780278,1,20,1
0.510441,1,20,1
0.671778,1,20,1
0.534916,1,20,1
0.773356,1,21,1
0.593796,1,21,1
0.841589,1,21,1
0.545427,1,21,1
0.817272,1,21,1
0.760846,1,21,1
0.623645,1,21,1
0.705727,1,21,1
0.538095,1,21,1
0.715478,1,21,1
0.565662,1,22,1
0.811758,1,22,1
0.607986,1,22,1
0.740205,1,22,1
0.710794,1,22,1
0.588157,1,22,1
0.882257,1,22,1
0.578925,1,22,1
0.721652,1,22,1
0.58103,1,22,1
0.756367,1,23,1
0.771222,1,23,1
0.601155,1,23,1
0.84394,1,23,1
0.620202,1,23,1
0.818697,1,23,1
0.575102,1,23,1
0.749728,1,23,1
0.740855,1,23,1
0.582062,1,23,1
0.766497,1,24,1
0.609929,1,24,1
0.771356,1,24,1
0.766825,1,24,1
0.636245,1,24,1
0.891881,1,24,1
0.830589,1,24,1
0.632014,1,24,1
0.771035,1,24,1
0.613079,1,24,1
0.807827,1,25,1
0.786775,1,25,1
0.620474,1,25,1
0.806331,1,25,1
0.792331,1,25,1
0.654109,1,25,1
0.816818,1,25,1
0.800424,1,25,1
0.660021,1,25,1
0.786204,1,25,1
0.650568,1,26,1
0.824768,1,26,1
0.812273,1,26,1
0.653329,1,26,1
0.835232,1,26,1
0.807724,1,26,1
0.650039,1,26,1
0.82054,1,26,1
0.890515,1,26,1
